Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
76,0.0005967634,6.8197,13.96505,3.8197,12.46169,1000000.0,2000000000.0,-1.6396256206041926,-3.02054,-65.7082,-84.086,-1.05179e-06,2.5515641228961425,5.59788,0.002523536,0.01233349,0.0516563,0.5868852,0.4088429,0.230097,
77,0.0005926527,6.8626640000000005,13.96152,3.862664,12.43984,1000000.0,2000000000.0,-1.5838041537809033,-3.01384,-65.7024,-84.0877,-1.05489e-06,2.5523470587219026,5.607644,0.002505604,0.01225866,0.05157918,0.5858868,0.4089569,0.2297394,
78,0.0005886096,6.906369,13.96321,3.906369,12.4266,1000000.0,2000000000.0,-1.5429811471107655,-3.0071,-65.6906,-84.0881,-1.05908e-06,2.5536233813661626,5.617373,0.002488003,0.01218614,0.05152563,0.5849844,0.4090118,0.2293784,
79,0.0005846714,6.948017999999999,13.95942,3.948018,12.40574,1000000.0,2000000000.0,-1.508416548837559,-3.00308,-65.6818,-84.0843,-1.0623499999999999e-06,2.5537965273870222,5.624789,0.00247096,0.0121132,0.05146145,0.584103,0.4089611,0.2290381,
80,0.0005808468,6.932232,13.95286,3.932232,12.37927,1000000.0,2000000000.0,-1.485623566388142,-3.01731,-65.659,-84.0636,-1.06514e-06,2.5528672879078456,5.616471,0.002454303,0.01204549,0.0513679,0.5830576,0.4088481,0.2287221,
81,0.000577031,6.922631,13.94661,3.922631,12.34727,1000000.0,2000000000.0,-1.453483382718595,-3.03174,-65.6398,-84.0523,-1.06702e-06,2.5528160653202248,5.609347,0.002437689,0.01197896,0.05129623,0.5820912,0.4087594,0.2284036,
82,0.0005732351,6.972795,13.94134,3.972795,12.32413,1000000.0,2000000000.0,-1.4191479698086056,-3.02193,-65.6385,-84.0542,-1.06963e-06,2.5524317486659402,5.621498,0.00242129,0.01190892,0.05122851,0.5812191,0.4086421,0.2280932,
83,0.0005695065,7.020856,13.93601,4.020856,12.301,1000000.0,2000000000.0,-1.3835182917653555,-3.01286,-65.637,-84.0561,-1.0722100000000001e-06,2.5521679137194293,5.63313,0.002405171,0.01184004,0.0511619,0.580357,0.4085482,0.2277887,
84,0.0005658375,7.068538,13.93618,4.068538,12.28685,1000000.0,2000000000.0,-1.3573909343396764,-3.00408,-65.6289,-84.057,-1.0759899999999999e-06,2.5526512489749837,5.64448,0.002389326,0.01177333,0.05111706,0.5795879,0.4084679,0.2274882,
85,0.0005622626,7.113421,13.93087,4.113421,12.26481,1000000.0,2000000000.0,-1.3308352042012288,-2.99591,-65.6263,-84.0571,-1.0786899999999999e-06,2.5522544163671625,5.655375,0.002373952,0.01170642,0.05105985,0.5788257,0.4083313,0.227212,
86,0.0005587915,7.156537,13.92297,4.156537,12.23715,1000000.0,2000000000.0,-1.2968921860324656,-2.98833,-65.6278,-84.0588,-1.08017e-06,2.5509423600340826,5.6655,0.0023589,0.01164434,0.05097457,0.577896,0.4081764,0.2269594,
87,0.0005553536,7.199442,13.91524,4.199442,12.20374,1000000.0,2000000000.0,-1.2509619785796033,-2.98342,-65.6309,-84.0684,-1.08075e-06,2.5506971495310973,5.674843,0.002343969,0.01158391,0.05090988,0.5770343,0.4080861,0.2267005,
88,0.0005519555,7.239856,13.90918,4.239856,12.18041,1000000.0,2000000000.0,-1.2195079755976934,-2.97684,-65.6287,-84.069,-1.08312e-06,2.5503424494535545,5.6846,0.002329311,0.01152059,0.05084993,0.5762633,0.4080021,0.2264433,
89,0.0005486126,7.27894,13.90306,4.27894,12.15708,1000000.0,2000000000.0,-1.1871715258022562,-2.97071,-65.6265,-84.0697,-1.08545e-06,2.5500707550131083,5.694037,0.002314885,0.01145823,0.05079088,0.5755011,0.4079346,0.226191,
90,0.000545326,7.316855,13.89683,4.316855,12.13374,1000000.0,2000000000.0,-1.1548771905758457,-2.96496,-65.6242,-84.0703,-1.0877399999999998e-06,2.549797011316755,5.70319,0.002300702,0.01139685,0.05073281,0.5747524,0.4078753,0.2259466,
91,0.0005420817,7.355096,13.89624,4.355096,12.1196,1000000.0,2000000000.0,-1.131291910896607,-2.95912,-65.6155,-84.07,-1.09129e-06,2.5503287940899955,5.712299,0.002286723,0.01133725,0.05069512,0.5740872,0.4078343,0.2257014,
92,0.0005389698,7.391096,13.88726,4.391096,12.09126,1000000.0,2000000000.0,-1.102107045479542,-2.95382,-65.6173,-84.071,-1.0923899999999998e-06,2.548911947812395,5.720716,0.002273259,0.01128122,0.05061707,0.5732531,0.4076785,0.225501,
93,0.0005358751,7.427264,13.87828,4.427264,12.05679,1000000.0,2000000000.0,-1.0601642607598905,-2.95367,-65.6183,-84.0777,-1.09264e-06,2.548590319023895,5.726299,0.002259833,0.01122648,0.05055826,0.5724732,0.4076069,0.2252882,
94,0.0005327998,7.404388,13.87148,4.404388,12.03328,1000000.0,2000000000.0,-1.047158832971462,-2.96931,-65.5953,-84.0574,-1.09553e-06,2.548329476036564,5.716994,0.002246578,0.01116866,0.05050468,0.5717795,0.4075585,0.2250701,
95,0.0005297418,7.386767,13.86443,4.386767,12.0095,1000000.0,2000000000.0,-1.0348414114892677,-2.983,-65.5745,-84.0388,-1.0983199999999998e-06,2.5479277799316593,5.709459,0.002233418,0.01111106,0.05045189,0.5711034,0.4074913,0.2248621,
96,0.000526736,7.430515,13.85734,4.430515,11.98705,1000000.0,2000000000.0,-1.006291102122347,-2.97446,-65.5756,-84.0404,-1.1004799999999998e-06,2.547290473748842,5.721043,0.002220523,0.01105357,0.05040868,0.5705632,0.4073188,0.2246996,
97,0.0005240766,7.474058,13.853,4.474058,11.97245,1000000.0,2000000000.0,-1.043894482575098,-2.96445,-65.5728,-84.0351,-1.1029999999999999e-06,2.544705906316129,5.731577,0.002209514,0.01100417,0.05038367,0.5705246,0.4069624,0.2248618,
98,0.0005213851,7.513802,13.84416,4.513802,11.94947,1000000.0,2000000000.0,-1.0496364176153037,-2.95627,-65.5749,-84.0336,-1.10453e-06,2.5426677994099314,5.741395,0.002198199,0.010953,0.05034047,0.5703112,0.4068095,0.2249617,
99,0.0005187502,7.54963,13.83462,4.54963,11.92151,1000000.0,2000000000.0,-1.0187479028119455,-2.95046,-65.5801,-84.0379,-1.10501e-06,2.5413753318692955,5.750239,0.002186787,0.01090557,0.05026943,0.5695752,0.4067223,0.2248184,
100,0.0005156898,7.586848,13.82648,4.586848,11.88562,1000000.0,2000000000.0,-0.9111995252033864,-2.94874,-65.5856,-84.0586,-1.1051999999999998e-06,2.5440471857469773,5.759094,0.002173113,0.01085116,0.05020693,0.5685306,0.4072103,0.224473,
101,0.0005127546,7.622659,13.82027,4.622659,11.8618,1000000.0,2000000000.0,-0.850236861648483,-2.94408,-65.5852,-84.0654,-1.1072900000000001e-06,2.5452596573274846,5.768427,0.002160277,0.01079566,0.05015446,0.5677163,0.4074268,0.2241846,
102,0.0005099162,7.657869,13.81345,4.657869,11.83795,1000000.0,2000000000.0,-0.8049380078604713,-2.93931,-65.5851,-84.0701,-1.10921e-06,2.5457575091319855,5.777549,0.002147962,0.01074185,0.05010465,0.5669793,0.4075056,0.2239331,
103,0.0005071478,7.692142,13.80633,4.692142,11.81412,1000000.0,2000000000.0,-0.7666716011896995,-2.93468,-65.5851,-84.0737,-1.11104e-06,2.5459245633389456,5.786403,0.002135994,0.01068928,0.05005648,0.5662834,0.4075271,0.2237015,
