Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
86,0.0009798566,10.127927,12.29188,7.127927,11.94414,50000000.0,2000000000.0,8.877146482401855,-15.1366,-66.9522,-86.8606,-7.69615e-07,4.35481411755176,4.028035,0.003987603,0.01852018,0.05769598,0.6502619,0.6813575,0.2713441,
87,0.0009885511,10.201982000000001,12.3527,7.201982,12.00431,50000000.0,2000000000.0,9.474921775267077,-15.0699,-66.8853,-86.7465,-7.717190000000001e-07,4.278545946748237,4.002927,0.00403303,0.0186663,0.05780064,0.6557365,0.6757363,0.2749738,
88,0.0009905419,10.231655,12.37184,7.231655,12.02246,50000000.0,2000000000.0,9.665905891864867,-15.0327,-66.8605,-86.7035,-7.72675e-07,4.251299737934996,3.993594,0.004044593,0.01870512,0.05779753,0.6577515,0.6739485,0.2764803,
89,0.000977604,10.153751,12.29315,7.153751,11.94269,50000000.0,2000000000.0,8.852284512310177,-15.0733,-66.9366,-86.8301,-7.7057e-07,4.337801519867286,4.020463,0.00398059,0.01850138,0.05757182,0.6521518,0.68125,0.2733111,
90,0.0009862752,10.227336000000001,12.35362,7.227336,12.00254,50000000.0,2000000000.0,9.452279419252605,-15.0072,-66.8702,-86.7163,-7.72644e-07,4.262068119095158,3.995549,0.004025892,0.01864737,0.05767619,0.6576231,0.6756354,0.2769374,
91,0.0009753354,10.08825,12.25091,7.08825,11.9022,50000000.0,2000000000.0,8.532445001649648,-15.1378,-66.9916,-86.905,-7.66638e-07,4.379382154318976,4.032005,0.003966163,0.01847818,0.05744675,0.6497773,0.6848666,0.2720994,
92,0.0009839941,10.164914,12.31583,7.164914,11.96451,50000000.0,2000000000.0,9.06994553391246,-15.0753,-66.9224,-86.7966,-7.687979999999999e-07,4.304676996830168,4.006521,0.004011587,0.01862713,0.05760398,0.6553909,0.6792644,0.2757169,
93,0.0009887823,10.22767,12.36081,7.22767,12.00778,50000000.0,2000000000.0,9.482290698631545,-15.0086,-66.8684,-86.7083,-7.71128e-07,4.249068091944197,3.98838,0.004037965,0.01871182,0.05764401,0.6590668,0.6751947,0.2782424,
94,0.0009776554,10.092093,12.25946,7.092093,11.90861,50000000.0,2000000000.0,8.561151145244423,-15.1344,-66.9872,-86.8939,-7.653859999999999e-07,4.364648313471238,4.024305,0.003977641,0.01853873,0.05741708,0.6513389,0.6843471,0.2734873,
95,0.0009863917,10.166952,12.3214,7.166952,11.96984,50000000.0,2000000000.0,9.123706634133214,-15.0682,-66.9194,-86.7791,-7.67539e-07,4.287754789871292,3.999036,0.004023235,0.01868619,0.05752168,0.6568344,0.6787231,0.2771286,
96,0.0009723461,10.165295,12.2851,7.165295,11.92789,50000000.0,2000000000.0,8.575361060599178,-15.0204,-66.9347,-86.8308,-7.707499999999999e-07,4.338325154940387,4.016781,0.003957423,0.01846044,0.05731658,0.651664,0.6827085,0.2740145,
97,0.0009831341,10.135507,12.29336,7.135507,11.94165,50000000.0,2000000000.0,8.867830994761334,-15.0843,-66.9489,-86.8196,-7.658109999999999e-07,4.312070956716524,4.005338,0.004006871,0.01864498,0.05740392,0.6556269,0.6812143,0.2767594,
98,0.0009868999,10.18921,12.33388,7.18921,11.9819,50000000.0,2000000000.0,9.17569851383341,-15.0313,-66.9012,-86.7504,-7.68027e-07,4.267858320336086,3.989945,0.004028146,0.01871648,0.05747775,0.6589288,0.677953,0.2789853,
99,0.0009741979,10.106514,12.24921,7.106514,11.89512,50000000.0,2000000000.0,8.4376668586942,-15.0707,-66.983,-86.8752,-7.65376e-07,4.353583235154208,4.01745,0.003964904,0.01851156,0.05720876,0.6531322,0.6852329,0.2757593,
100,0.0009828377,10.182680000000001,12.31499,7.18268,11.9615,50000000.0,2000000000.0,8.982823796555564,-15.0097,-66.9124,-86.7651,-7.67872e-07,4.279611005343749,3.992411,0.004010248,0.01866028,0.05736621,0.6587552,0.67964,0.2793765,
101,0.0009717545,10.049774,12.21368,7.049774,11.86231,50000000.0,2000000000.0,8.15925325011824,-15.129,-67.0296,-86.9468,-7.622779999999999e-07,4.3940728455182,4.028096,0.00395052,0.01848621,0.05714615,0.6511636,0.6885405,0.2746999,
102,0.000980548,10.125985,12.27751,7.125985,11.92537,50000000.0,2000000000.0,8.678055826318243,-15.0637,-66.9603,-86.8309,-7.64516e-07,4.315890341764725,4.002424,0.003996315,0.01863536,0.05725055,0.656683,0.6829071,0.2783551,
103,0.0009823022,10.14181,12.28847,7.14181,11.93599,50000000.0,2000000000.0,8.788096400311574,-15.0428,-66.9468,-86.8039,-7.646969999999999e-07,4.297303524005139,3.99569,0.004006043,0.01866969,0.05724579,0.6583689,0.6818418,0.2796534,
104,0.0009690669,10.08664,12.2199,7.08664,11.86508,50000000.0,2000000000.0,8.155963104416031,-15.0516,-67.0056,-86.9065,-7.64097e-07,4.372892003328756,4.019794,0.003942164,0.01845716,0.05703458,0.6532052,0.6880552,0.2767304,
105,0.0009782611,10.129038000000001,12.26353,7.129038,11.91,50000000.0,2000000000.0,8.597376039978172,-15.0228,-66.9639,-86.823,-7.63961e-07,4.310920809063927,3.998254,0.003988649,0.01861397,0.05713204,0.658719,0.6838668,0.280504,
