Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
52,Rd,-6.738598730759784e-06,0.0,0.0,0.0,0.0,-6.738598730759784e-06,Ibias,156.04930404561895,0.0,0.0,0.0,0.0,156.04930404561895,W1,62.28837563680001,0.0,0.0,0.0,0.0,62.28837563680001,W2,1321.6034646883354,0.0,0.0,0.0,0.0,1321.6034646883354,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
53,Rd,-6.663888545694657e-06,0.0,0.0,0.0,0.0,-6.663888545694657e-06,Ibias,156.53479645199562,0.0,0.0,0.0,0.0,156.53479645199562,W1,61.59001047576869,0.0,0.0,0.0,0.0,61.59001047576869,W2,1314.313414074657,0.0,0.0,0.0,0.0,1314.313414074657,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
54,Rd,-6.589269793712908e-06,0.0,0.0,0.0,0.0,-6.589269793712908e-06,Ibias,157.02822180022912,0.0,0.0,0.0,0.0,157.02822180022912,W1,60.97020725107196,0.0,0.0,0.0,0.0,60.97020725107196,W2,1306.773157462251,0.0,0.0,0.0,0.0,1306.773157462251,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
55,Rd,-5.5320353097011826e-05,-4.880561166699678e-05,0.0,0.0,0.0,-6.5147414300143075e-06,Ibias,56.86696083780408,-100.646309943406,0.0,0.0,0.0,157.5132707812116,W1,-172.09378800479521,-232.52281939209848,0.0,0.0,0.0,60.42903138732948,W2,-242.14867164730188,-1541.7581743654132,0.0,0.0,0.0,1299.6095027181884,Alo,-0.17155329059880162,-0.17155329059879904,0.0,0.0,0.0,0.0,
56,Rd,-6.562490834084584e-06,0.0,0.0,0.0,0.0,-6.562490834084584e-06,Ibias,157.1806297594083,0.0,0.0,0.0,0.0,157.1806297594083,W1,60.779264649398385,0.0,0.0,0.0,0.0,60.779264649398385,W2,1302.8617058966815,0.0,0.0,0.0,0.0,1302.8617058966815,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
57,Rd,-6.488223632737111e-06,0.0,0.0,0.0,0.0,-6.488223632737111e-06,Ibias,157.66534271828553,0.0,0.0,0.0,0.0,157.66534271828553,W1,60.15937244914619,0.0,0.0,0.0,0.0,60.15937244914619,W2,1295.4796947310065,0.0,0.0,0.0,0.0,1295.4796947310065,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
58,Rd,-2.6803379219445346e-05,-2.0389333807303644e-05,0.0,0.0,0.0,-6.414045412142142e-06,Ibias,115.66285280758623,-42.48691603677296,0.0,0.0,0.0,158.14976884435828,W1,-166.38958781852625,-225.92870800864526,0.0,0.0,0.0,59.53912019011611,W2,212.99772281529266,-1075.2687944183733,0.0,0.0,0.0,1288.2665172336426,Alo,-0.07172797899258497,-0.07172797899258652,0.0,0.0,0.0,0.0,
59,Rd,-6.437580175296951e-06,0.0,0.0,0.0,0.0,-6.437580175296951e-06,Ibias,158.06295984710184,0.0,0.0,0.0,0.0,158.06295984710184,W1,59.65437888637807,0.0,0.0,0.0,0.0,59.65437888637807,W2,1288.4999866157611,0.0,0.0,0.0,0.0,1288.4999866157611,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
60,Rd,-3.1067719701919025e-05,-2.470812772670006e-05,0.0,0.0,0.0,-6.3595919752182265e-06,Ibias,106.80138913046507,-51.754499501200655,0.0,0.0,0.0,158.55588863166727,W1,-163.5373301445728,-222.65052606495166,0.0,0.0,0.0,59.11319592037595,W2,-24.30363365079323,-1305.5659313814356,0.0,0.0,0.0,1281.2622977306812,Alo,-0.08695638299721287,-0.08695638299721027,0.0,0.0,0.0,0.0,
61,Rd,-6.385355835686608e-06,0.0,0.0,0.0,0.0,-6.385355835686608e-06,Ibias,158.4421576592351,0.0,0.0,0.0,0.0,158.4421576592351,W1,59.22926839580911,0.0,0.0,0.0,0.0,59.22926839580911,W2,1281.572846195347,0.0,0.0,0.0,0.0,1281.572846195347,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
62,Rd,-1.2451123949111139e-05,-6.139612152082449e-06,0.0,0.0,0.0,-6.3115117970288355e-06,Ibias,145.99992895987663,-12.927140959157217,0.0,0.0,0.0,158.92706991903353,W1,-63.70400753181266,-122.3133422174116,0.0,0.0,0.0,58.60933468559604,W2,949.2715575205792,-325.0425369670588,0.0,0.0,0.0,1274.3140944876302,Alo,-0.02161611048316467,-0.021616110483165182,0.0,0.0,0.0,0.0,
63,Rd,-6.32094013619949e-06,0.0,0.0,0.0,0.0,-6.32094013619949e-06,Ibias,158.898821103937,0.0,0.0,0.0,0.0,158.898821103937,W1,58.58662378616738,0.0,0.0,0.0,0.0,58.58662378616738,W2,1274.2393912742425,0.0,0.0,0.0,0.0,1274.2393912742425,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
64,Rd,-9.197995418631604e-05,-8.57327524047559e-05,0.0,0.0,0.0,-6.2472017815595505e-06,Ibias,-22.06637539317945,-181.44992565284883,0.0,0.0,0.0,159.3835502596706,W1,-158.38644777596272,-216.43189338718636,0.0,0.0,0.0,58.04544561124982,W2,-237.40074322301146,-1504.7659824281827,0.0,0.0,0.0,1267.3652392052022,Alo,-0.3019650908943738,-0.30196509089437173,0.0,0.0,0.0,0.0,
