Input_Current,Temperature,Voutp,Voutn,vg1,vd1,i_src,v_src,p_src,Io,gm1,gds1,vt,vdsat1,cgs1,cgd1,cgs2,cgd2,region,Vcmlo,gm2,vt2,conv_gain_db,gain_freq,bb_BW,iip2_dbm,nf_db,iip3_dbm
6.856569530068852e-05,32.258064516129025,0.9539935,0.9539935,0.2876018,0.1847418,0.0005392435,1.0,0.0005392435,5.253572000000001e-05,0.001177765,0.0001459599,0.47627,0.04730571,2.541693e-14,1.567342e-14,7.699e-15,4.639429e-15,3.0,0.4677799,0.0005863379,0.471186,0.22041148734233004,1000.000000119209,9999000.0,50.20805012846246,24.413197226751624,0.9650696423116045
6.856569530068852e-05,37.41935483870968,0.9529849,0.9529849,0.2834299,0.1873941,0.0005410209,1.0,0.0005410209,5.361686e-05,0.001183247,0.0001466493,0.4717526,0.04812619,2.5563530000000002e-14,1.5664249999999998e-14,7.758331e-15,4.636392e-15,3.0,0.4677839,0.0005899487,0.4677073,0.18058893251288524,1000.000000119209,9999000.0,50.23552085236689,24.524128222740067,0.694803621272797
6.856569530068852e-05,42.58064516129032,0.9519632,0.9519632,0.2792714,0.1901498,0.0005428138,1.0,0.0005428138,5.4708e-05,0.001188725,0.0001473177,0.4672286,0.04894652,2.570853e-14,1.565501e-14,7.812285e-15,4.633644000000001e-15,3.0,0.4677881,0.000591524,0.4642587,0.14009019253359156,1000.000000119209,9999000.0,50.33179796588348,24.63478036757287,0.7682179420998239
6.856569530068852e-05,47.74193548387096,0.9509536,0.9509536,0.2751261,0.1928188,0.0005445643,1.0,0.0005445643,5.5781250000000004e-05,0.001193618,0.0001479412,0.46271,0.04976612,2.585075e-14,1.564587e-14,7.868194e-15,4.630795e-15,3.0,0.4677924,0.0005940539,0.4607945,0.09884195472263062,1000.000000119209,9999000.0,58.45691121101025,24.74506307813416,0.5841572577041063
6.856569530068852e-05,52.903225806451616,0.9499425,0.9499425,0.2709937,0.1955012,0.0005463032,1.0,0.0005463032,5.6851420000000004e-05,0.001198259,0.0001485355,0.4581907,0.05058516,2.599088e-14,1.5636749999999998e-14,7.922237e-15,4.628047e-15,3.0,0.4677968,0.0005959951,0.4573389,0.05674082931329597,1000.000000119209,9999000.0,50.5360681540938,24.85465857109032,0.8866360260346795
6.856569530068852e-05,58.064516129032256,0.9489381,0.9489381,0.2668739,0.1981365,0.000548012,1.0,0.000548012,5.790964e-05,0.001202481,0.0001490947,0.4536743,0.05140338,2.612858e-14,1.562768e-14,7.976732000000001e-15,4.6252780000000004e-15,3.0,0.4678014,0.0005982824,0.4538771,0.014359565674932316,1000.000000119209,9999000.0,50.640249191057976,24.963749625759235,0.9629772916562871
6.856569530068852e-05,63.2258064516129,0.9479311,0.9479311,0.2627665,0.2007904,0.0005497114,1.0,0.0005497114,5.8965800000000004e-05,0.001206502,0.0001496294,0.4491567,0.05222084,2.6264289999999997e-14,1.561862e-14,8.029207e-15,4.622619e-15,3.0,0.4678062,0.0005999324,0.4504251,-0.028255094972942926,1000.000000119209,9999000.0,50.746635338155826,25.072011247113828,1.0413761709163651
6.856569530068852e-05,68.38709677419355,0.9469277,0.9469277,0.2586713,0.2034174,0.0005513876,1.0,0.0005513876,6.001327e-05,0.001210201,0.0001501356,0.4446409,0.05303734,2.639779e-14,1.56096e-14,8.081402000000002e-15,4.619978e-15,3.0,0.4678111,0.0006016415,0.4469717,-0.07082789620927012,1000.000000119209,9999000.0,50.85548723316222,25.179557370738532,1.1216515098345212
6.856569530068852e-05,73.54838709677419,0.9459262,0.9459262,0.2545881,0.2060284,0.0005530444,1.0,0.0005530444,6.105385e-05,0.001213628,0.0001506166,0.440126,0.05385278,2.652919e-14,1.56006e-14,8.132923e-15,4.617374e-15,3.0,0.4678161,0.0006032548,0.4435198,-0.11327597987507068,1000.000000119209,9999000.0,50.94354214437281,25.28625941575355,1.2034478356137583
6.856569530068852e-05,78.70967741935483,0.944934,0.944934,0.2505168,0.2085639,0.0005546649,1.0,0.0005546649,6.207886e-05,0.00121663,0.0001510672,0.4356159,0.0546669,2.66582e-14,1.559169e-14,8.185983000000002e-15,4.614693e-15,3.0,0.4678213,0.0006056407,0.4400543,-0.15551893178185866,1000.000000119209,9999000.0,51.041557225263716,25.392052558390127,1.2872217404653696
