n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
14,0.0007946228639411064,0.00010787544356293701,369.111390723534,403.00631661616706,1000000000.0,-4.8824,15.8554,-24.6268,3.2233830772748555,0.0020847,0.0173675,0.8338800000000001,0.0
15,0.0007877014692431504,0.00010787544356293701,371.90479194626477,408.3901681074563,1000000000.0,-4.9317,15.8907,-24.0986,3.2194593594769696,0.0020665,0.0172342,0.8266000000000001,0.0
16,0.0007809369585497481,0.00010787544356293701,374.7140091997663,413.81302033112945,1000000000.0,-4.9803,15.9259,-23.5928,3.2156266040486896,0.0020487,0.0171036,0.81948,0.0
17,0.0007743308445558752,0.00010787544356293701,377.53300061163674,419.30643605704427,1000000000.0,-5.0279,15.9614,-23.1082,3.2118227036754137,0.0020312999999999998,0.0169755,0.8125199999999999,0.0055799999999999635
18,0.0007837646926368104,0.0001051528418441227,358.6563505810549,440.27175785989647,1000000000.0,-4.8584,16.2901,-23.0149,3.1889160466825963,0.0020555,0.017063400000000003,0.8222,0.0
19,0.0007766842168270027,0.00010494440675158707,360.5333856454357,446.040621355435,1000000000.0,-4.9068,16.3214,-22.5622,3.18779120655397,0.0020369999999999997,0.0169252,0.8147999999999999,0.0
20,0.0007697733282848952,0.00010473656963507177,362.420390076137,451.8611615201774,1000000000.0,-4.9543,16.3528,-22.1292,3.186690177048084,0.002019,0.0167899,0.8076,0.0
21,0.0007629815878361626,0.00010473656963507177,365.27718434274203,457.738249644684,1000000000.0,-5.0049,16.3842,-21.6921,3.183979956997665,0.0020011,0.016659300000000002,0.80044,0.0009800000000000253
22,0.0007646978829246756,0.00010203921752360105,347.0133251256049,480.6251621269182,1000000000.0,-4.8948,16.6622,-21.4241,3.178482422239957,0.0020058,0.0166129,0.8023199999999999,0.0
23,0.0007576733342030163,0.00010203921752360105,349.884281462161,486.7379367778003,1000000000.0,-4.9483,16.6897,-21.0077,3.1764875041089087,0.0019873,0.0164792,0.79492,0.0
24,0.0007508510537558127,0.00010203921752360105,351.80897944958804,492.91220063031335,1000000000.0,-4.998,16.7195,-20.6376,3.1756040752518273,0.0019695,0.0163505,0.7878,0.0
25,0.0007441736638475867,0.00010203921752360105,354.72282186345063,499.13966208269454,1000000000.0,-5.0497,16.7473,-20.2557,3.1736555724205022,0.0019519,0.016222300000000002,0.78076,0.009939999999999928
26,0.0007544138162551749,9.924532934545598e-05,336.9866807702781,524.0966451868293,1000000000.0,-4.8749,17.0496,-20.1367,3.1638730582842833,0.0019775,0.0163062,0.791,0.0
27,0.0007472631598732644,9.924532934545598e-05,339.9282936951086,533.7963773415482,1000000000.0,-4.9277,17.1027,-19.6785,3.1595631015464685,0.0019584,0.0161646,0.78336,0.0
28,0.0007402345302066811,9.924532934545598e-05,342.9022138313585,543.657964449926,1000000000.0,-4.9802,17.1554,-19.2408,3.15549631090322,0.0019396,0.016024999999999998,0.7758400000000001,0.0
29,0.0007332996380261414,9.924532934545598e-05,345.89943113736143,553.689083682654,1000000000.0,-5.0325,17.2076,-18.8221,3.1517195664199926,0.0019211,0.0158867,0.76844,0.00649999999999995
30,0.0007438960511719533,9.632678209691654e-05,328.60445958049337,581.3735378667867,1000000000.0,-4.8589,17.4872,-18.6721,3.151008035334741,0.0019469,0.0159613,0.77876,0.0
31,0.0007364219831451335,9.611695213338792e-05,330.6447868565821,591.7564480712039,1000000000.0,-4.9128,17.532,-18.2891,3.1508940935182834,0.0019272,0.0158124,0.77088,0.0
32,0.0007290758824841847,9.611695213338792e-05,333.7473340231656,602.2330110505401,1000000000.0,-4.971,17.5757,-17.9027,3.148784467114116,0.0019076,0.0156688,0.7630399999999999,0.0
33,0.000721904125933215,9.611695213338792e-05,335.84070078583903,612.8084908880293,1000000000.0,-5.0254,17.6208,-17.5582,3.1482903957844477,0.0018886,0.0155299,0.75544,0.005080000000000063
34,0.000731889771192061,9.295349748885174e-05,319.0486657465471,643.4489154324307,1000000000.0,-4.8612,17.871,-17.3734,3.1588565760470106,0.0019123000000000002,0.0155754,0.76492,0.0
35,0.0007240676232409334,9.273756150535143e-05,321.2097459878922,654.1896102245511,1000000000.0,-4.9211,17.9059,-17.0406,3.160748992374657,0.0018918,0.0154228,0.75672,0.0
36,0.0007165424434483118,9.273756150535143e-05,324.50292039782516,668.6297604218616,1000000000.0,-4.9834,17.9621,-16.6372,3.158887135840416,0.0018714,0.0152712,0.74856,0.0
37,0.0007090857297419845,9.252128473016794e-05,326.73876432616987,679.5136768508228,1000000000.0,-5.0421,17.9951,-16.3345,3.1611662440157784,0.0018518,0.015124700000000001,0.74072,0.008419999999999917
38,0.0007202131117673125,8.895035307102766e-05,310.40182610986136,694.1306654850498,1000000000.0,-4.8764,18.1143,-16.462,3.186479411941852,0.0018795,0.015202,0.7518,0.0
39,0.0007121435869796802,8.895035307102766e-05,312.6873750793067,704.8914600506573,1000000000.0,-4.9424,18.1434,-16.1705,3.1885956683336207,0.0018584,0.0150538,0.74336,0.0
40,0.0007043192331946639,8.895035307102766e-05,315.00294928664636,719.3186874392973,1000000000.0,-5.0072,18.191,-15.8335,3.1901262764568736,0.0018376,0.0149022,0.73504,0.0014400000000000192
41,0.0007075144604727867,8.510837205515246e-05,299.25280182231404,719.3186874392973,1000000000.0,-4.896,18.1953,-16.1384,3.232248420996671,0.0018471,0.014874100000000001,0.7388399999999999,0.0
