Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
88,0.0006644274,6.291227,13.98264,3.291227,12.56378,1000000.0,2000000000.0,-1.4446709369833854,-3.09614,-66.023,-84.3494,-9.550969999999999e-07,2.5334057665474243,5.475896,0.002809171,0.01378378,0.05134814,0.5882709,0.4097288,0.2330995,
89,0.0006591865,6.285164,13.97988,3.285164,12.54194,1000000.0,2000000000.0,-1.4063995646958176,-3.10952,-65.9933,-84.3287,-9.59528e-07,2.5345320027774036,5.469672,0.00278638,0.013686,0.05127676,0.5872057,0.409816,0.232672,
90,0.0006540139,6.339137,13.97672,3.339137,12.5197,1000000.0,2000000000.0,-1.3580361235933083,-3.0999,-65.9859,-84.3288,-9.63041e-07,2.5352453393377825,5.481593,0.00276395,0.01358924,0.05120721,0.5861686,0.4098204,0.2322538,
91,0.0006489461,6.39283,13.97801,3.39283,12.50507,1000000.0,2000000000.0,-1.3235784254040084,-3.09053,-65.9731,-84.3275,-9.67444e-07,2.5363760006120577,5.493322,0.002742029,0.01349544,0.05115756,0.585229,0.4097789,0.2318442,
92,0.0006440542,6.443929,13.97214,3.443929,12.47851,1000000.0,2000000000.0,-1.2874305119560887,-3.08139,-65.969,-84.3263,-9.7002e-07,2.5356494045931406,5.504351,0.002720851,0.01340586,0.05107254,0.5841591,0.4096126,0.2314773,
93,0.0006392257,6.494623,13.96662,3.494623,12.44716,1000000.0,2000000000.0,-1.241985209803353,-3.07454,-65.9663,-84.3318,-9.718949999999998e-07,2.535800708920947,5.514653,0.00269993,0.01331847,0.05100599,0.5831523,0.4094934,0.2311061,
94,0.0006344649,6.5429390000000005,13.96214,3.542939,12.42411,1000000.0,2000000000.0,-1.2096033342608266,-3.06661,-65.9591,-84.3294,-9.7513e-07,2.5357893746751516,5.525271,0.002679422,0.01322866,0.05094364,0.5822293,0.4093713,0.2307396,
95,0.0006297982,6.589931,13.95741,3.589931,12.40091,1000000.0,2000000000.0,-1.1786312450124186,-3.05908,-65.9521,-84.3268,-9.78305e-07,2.5357417137118947,5.535599,0.002659318,0.01314051,0.0508825,0.5813298,0.4092458,0.2303868,
96,0.0006252176,6.635618,13.95258,3.635618,12.37769,1000000.0,2000000000.0,-1.1503710264602773,-3.05452,-65.9426,-84.3216,-9.81527e-07,2.535674173110263,5.543549,0.002639592,0.01305387,0.05082255,0.5804485,0.4091233,0.2300441,
97,0.0006207151,6.624219,13.9474,3.624219,12.3542,1000000.0,2000000000.0,-1.1369449555849442,-3.06865,-65.9153,-84.2985,-9.853749999999999e-07,2.5356283413497245,5.536276,0.002620204,0.0129686,0.05076356,0.5795847,0.4090119,0.2297127,
98,0.0006162592,6.617345,13.94193,3.617345,12.33042,1000000.0,2000000000.0,-1.124067893949828,-3.08098,-65.89,-84.2771,-9.891189999999999e-07,2.535469553596125,5.530537,0.002601038,0.01288408,0.05070554,0.5787433,0.4088877,0.2293949,
